"X1","X2","X3","X4","X5","X6","X7","X8","X9"
0,0,0,2.419,1.225,0.667,0,0,3.799
0,0,0,2.638,1.401,0.632,0,0,4.332
9.23,11,0,5.799,2.93,0.486,0,0,7.039
9.23,11,0,5.453,2.887,0.495,0,0,6.691
9.23,11,0,4.068,2.758,0.695,0,0,5.924
215.34,327.629,3,0.189,4.677,1.333,0,4,6.083
9.23,11,0,2.723,2.321,1.165,0,0,7.351
0,0,0,3.267,2.318,0.963,0,0,4.038
0,0,0,2.067,1.8,1.25,0,0,3.977
0,0,0,2.746,1.667,1.4,0,0,3.806
0,0,0,3.124,1.8,1.417,0,0,4.358
12.03,18.011,1,0.817,1.8,1.488,1,0,3.878
69.67,97.435,0,3.122,3.723,1.26,0,2,7.387
23.79,31.059,0,0.094,1.334,1.115,1,1,3.791
92.14,107.097,1,4.275,4.174,1.174,1,1,4.081
0,0,0,2.851,1.989,0.938,0,0,3.46
0,0,0,1.115,1,0.588,0,0,4.578
35.53,47.145,0,4.579,3.875,1.124,0,1,7.684
17.07,25.145,0,0.202,1.225,1.66,0,0,0.634
34.14,50.29,0,0.076,1.654,1.493,0,0,3.334
67.51,103.973,1,3.204,3.344,0.938,0,1,2.932
49.33,85.839,2,1.06,2.272,1.007,1,1,4.296
122.22,155.543,2,1.406,3.511,1.456,5,2,2.617
18.46,22,0,1.262,2.147,1.576,0,0,2.226
3.24,3.124,0,9.148,5.497,1.559,1,0,5.939
12.03,18.011,1,6.728,4.392,1.554,1,0,6.578
54.57,41.028,0,5.65,4.026,1.575,0,0,7.11
118.22,238.562,5,2.201,3.83,1.214,0,0,6.403
37.3,67.828,1,3.23,2.63,1.166,0,1,4.257
3.24,3.124,0,4.48,3.258,1.31,1,0,5.738
12.47,14.124,0,3.827,3.362,1.373,1,0,5.117
0,0,0,2.226,1.265,0.57,0,0,3.722
0,14.96,0,2.026,1.265,0.722,0,0,3.648
45.61,28.269,0,3.012,2.557,0.901,1,0,6.398
12.03,18.011,1,1.587,1.654,1.732,1,0,2.408
86.81,121.412,3,0.709,2.938,1.416,2,0,2.971
132.42,196.332,2,4.478,4.984,1.087,4,0,5.491
40.46,85.367,2,5.255,3.001,0.485,0,0,4.845
0,0,0,5.453,2.837,0.735,0,0,6.917
20.23,42.683,1,3.921,2.494,1.229,0,0,6.279
40.46,85.367,2,3.306,2.832,0.917,0,0,4.325
0,0,0,3.259,2.048,1.111,0,0,3.758
26.02,32.897,2,2.193,2.031,0.992,1,0,4.085
17.07,25.145,0,1.947,2.005,1.276,0,0,3.088
0,0,0,3.267,2.119,1.25,0,0,4.839
0,0,0,3.267,2.119,1.25,0,0,5.384
0,0,0,3.374,2.118,1.204,0,0,3.55
17.07,25.145,0,-0.317,1.155,1.74,0,0,0.535
29.1,43.156,1,3.076,2.438,0.773,1,1,4.695
37.3,67.828,1,0.133,1.401,1.582,0,1,3.194
40.46,85.367,2,0.706,1.768,1.594,0,0,1.27
0,0,0,2.226,1.401,0.826,0,0,3.702
103.67,119.505,1,3.546,2.847,1.211,3,0,3.711
111.87,144.177,1,2.702,2.626,1.047,2,0,6.012
38.33,54.156,1,2.391,2.612,1.293,1,0,6.336
75.27,111.456,2,0.779,2.709,1.029,2,2,2.279
17.07,25.145,0,0.202,1.334,1.66,0,0,2.838
87.66,139.995,3,1.589,3.514,1.339,2,1,3.816
37.3,67.828,1,0.586,1.577,1.56,0,1,3.082
49.17,55.448,0,4.168,3.329,1.042,3,0,4.639
93.06,157.656,2,2.014,3.767,1.189,0,0,4.358
0,0,0,3.138,1.509,1.7,0,0,3.856
37.3,67.828,1,0.996,1.746,1.547,0,1,3.339
37.3,67.828,1,2.06,2.06,1.529,0,1,3.045
20.23,42.683,1,2.274,2.005,1.596,0,0,3.122
52.6,72.29,0,4.737,3.907,1.595,0,2,5.718
52.6,72.29,0,5.426,3.893,1.402,0,2,4.508
54.57,41.028,0,5.208,3.691,1.585,0,0,6.39
0,0,0,3.516,1.678,1.667,0,0,4.306
81.7,115.445,1,5.44,4.623,1.517,1,3,4.922
20.23,42.683,1,5.089,3.049,1.247,0,0,6.019
20.23,42.683,1,4.833,2.913,1.229,0,0,6.338
50.24,26.663,0,3.247,2.789,1.206,1,1,6.134
20.23,42.683,1,1.94,1.997,1.61,0,0,3.237
122.91,210.537,3,0.868,3.59,1.462,3,1,2.666
45.61,28.269,0,2.275,2.445,1.29,1,0,4.446
44.45,16.786,0,2.539,1.84,0.92,1,1,5.432
38.33,54.156,1,1.737,2.472,0.638,1,0,6.918
70.14,50.908,3,0.59,1.909,0.907,2,0,3.85
52.6,72.29,0,3.618,3.197,1.356,0,2,4.853
52.6,72.29,0,4.091,3.568,1.15,0,2,5.218
9.23,11,0,2.274,2.15,1.754,0,0,3.658
46.15,54.999,0,2.11,3.866,1.521,0,0,5.272
54.57,41.028,0,3.742,3.136,1.773,0,0,6.042
0,0,0,3.562,2.281,1.15,0,0,5.601
45.61,28.269,0,1.971,2.294,1.275,1,0,4.587
121.26,6.249,0,2.869,3.095,0.862,2,0,6.172
94.88,149.498,0,4.207,3.047,1.283,3,0,6.212
20.23,42.683,1,0.347,1.334,1.768,0,0,0.899
41.57,57.28,1,0.734,2.548,1.853,2,0,3.367
38.8,0,1,1.364,1.334,1.212,0,0,6.121
86.71,27.185,0,2.06,2.394,1.088,0,0,6.625
92.31,70.941,2,2.195,3.082,0.999,3,0,7.134
98.61,57.46,0,2.054,2.891,1.442,3,0,9.19
44.45,16.786,0,1.676,1.509,0.779,1,1,5.347
56.15,36.022,2,0.59,1.879,1.001,2,0,2.918
